AFG,High_Developed,PFG,PPT,Woody,claycontent,presence
0.009267814,0,2.19E-01,33.57374659,0.15064086,0.243076084,0
0.009895178,9.47E-04,2.43E-01,30.85453783,0.168945167,0.247798548,0
0.082424011,0,4.28E-01,35.04267156,0.091842465,0.251933616,0
0.070123876,0,2.96E-01,31.9796794,0.022300618,0.201271462,0
0.037150116,0,2.19E-01,36.60405462,0.04509956,0.25167085,0
0.045062678,0,1.40E-01,43.93128319,0.023089787,0.209548194,0
0.081545986,0.004301659,1.48E-01,36.87190933,0.043204745,0.1970154,0
0.084839781,0,6.99E-01,57.0830551,0.087798706,0.311641493,0
0.021187502,0,4.14E-02,35.63797493,0.020221991,0.284213153,0
0.038576498,6.88E-05,1.19E-01,38.90702516,0.012549894,0.23041455,0
0.053291964,0,3.97E-01,29.87483104,0.086187164,0.247978947,0
0.124538992,0,5.58E-01,55.06438396,0.141243674,0.203856858,0
0.024708497,7.45E-05,2.35E-01,28.57071287,0.138769579,0.283222191,0
0.029350877,0,8.96E-02,45.03520717,0.038652709,0.315162769,0
0.023456238,0,1.45E-01,34.97756613,0.021765642,0.270670153,0
0.09014029,0,6.08E-01,33.87515988,0.034183342,0.212798722,0
0.057086938,0,2.49E-01,45.7066072,0.01951633,0.266666984,0
0.025888845,0,1.50E-01,40.9281976,0.048033247,0.303595884,0
0.05473619,3.51E-04,3.45E-01,32.02344231,0.033593384,0.26353491,0
0.063575302,6.86E-05,4.01E-01,35.24656671,0.031752256,0.21710967,0
0.012409372,1.50E-04,3.61E-02,36.75822589,0.018276424,0.212521911,0
0.042789224,0.007288801,1.20E-01,28.78072459,0.053635302,0.228901568,0
0.019418767,7.07E-05,1.36E-02,37.14697893,0.007947991,0.275882251,0
0.061897961,0,5.60E-01,33.56047877,0.026355312,0.228527036,0
0.055719434,5.62E-04,2.03E-01,30.96185833,0.02315404,0.28036406,0
0.061627373,0,4.10E-01,34.91447163,0.012662229,0.202982161,0
0.008885497,0,3.69E-02,40.87945637,0.009987786,0.254929739,0
0.061509495,0,2.56E-01,36.12096253,0.061374192,0.256047115,0
0.175736807,0.002629906,2.63E-01,41.45070135,0.127268789,0.236877711,0
0.112634587,0,3.84E-01,29.76642676,0.123450694,0.23262851,0
