AFG,High_Developed,PFG,PPT,Woody,claycontent,presence
-0.019759839,-0.13563027,0.954475977,-1.664141294,-1.326099236,-0.236219254,1
0.374429008,-0.13563027,2.127036974,-1.221412929,-0.708064106,-1.204544866,1
-1.36339781,-0.13563027,2.007793483,-1.293836934,-0.815704058,0.271372673,1
-1.522554546,-0.13563027,2.074039867,-1.645422092,-1.023337421,-0.729789699,1
0.113602695,-0.13563027,1.52419488,-1.827915906,-1.355956718,-1.099494243,1
1.244826835,-0.103284022,2.64375877,-1.740806457,-1.219462035,-1.09230169,1
0.796224632,-0.13563027,2.610635578,-1.667317426,-1.335473652,-1.657972927,1
-0.766349456,-0.13563027,2.782876176,-1.303463816,-1.133416313,-0.437226543,1
1.709052927,-0.13563027,1.219461513,-2.21922895,-1.431838761,-0.848204173,1
-0.689625033,-0.13563027,0.596745503,-1.160568984,-1.253181885,-0.688879388,1
0.158282268,-0.13563027,0.556997673,-1.474870978,-1.072204305,-1.17540021,1
1.034136586,-0.115688188,1.577191987,-1.958107196,-1.089972012,-1.057078556,1
-0.661553881,-0.13563027,0.788860017,-1.953422296,-1.115234902,-0.724909072,1
1.576464771,-0.122176521,1.451323857,-1.964343949,-1.008478132,-0.920534319,1
-0.270224361,-0.13563027,1.782555777,-1.907345377,-1.151056021,-1.051402069,1
-1.342598667,-0.13563027,-1.255503395,-0.307083884,-1.462069077,-1.28909449,1
-1.264274215,-0.13563027,-1.434368631,-0.411986941,-1.483374049,-0.383277946,1
-1.44046284,-0.13563027,2.199907997,-1.609896702,-1.168811719,-1.048928169,1
-1.010759348,-0.13563027,2.60401094,-1.127893323,-1.227208751,-0.511877584,1
-0.315238531,-0.13563027,1.570567349,-1.970944879,-0.942498912,-1.085550573,1
-0.097383143,-0.13563027,2.279403658,-1.392441863,-0.926138431,-2.370178905,1
0.495393622,-0.122367355,1.43807458,-1.673206737,-0.836469866,-1.675535668,1
0.688515176,-0.13563027,-0.549316941,-0.30525089,-1.369623534,-0.090523907,1
1.406860256,-0.13563027,0.504000566,-0.062215675,-1.260744862,-0.862103669,1
2.011264489,-0.13563027,1.577191987,-1.96100274,-0.865610062,-0.686937766,1
-0.989635115,-0.13563027,-1.325062098,-0.39956045,-1.526792782,-0.420594987,1
-0.602549951,-0.090689023,1.10684266,-1.224535143,-0.469023975,-1.48992508,1
-0.883031443,-0.13563027,3.551334231,-1.254400475,-1.042461195,0.128073696,1
-0.909832471,-0.13563027,3.756698022,-1.279929749,-1.30620549,0.176280867,1
0.412893506,-0.13563027,3.273099418,-1.46316616,-1.189534172,-1.072045255,1
-0.969309731,-0.13563027,0.9412267,-1.153619493,0.152335283,-0.498300339,1
0.638115752,-0.13563027,1.537444157,-1.678200657,-1.282878951,-1.034708376,1
-0.446218563,-0.13563027,2.544389194,-1.246334195,-0.368709971,-1.311550423,1
-0.967362563,-0.128846146,2.723254431,-1.308211576,-1.210714732,0.275258641,1
1.617424805,-0.13563027,3.55795887,-1.728341051,-1.443361491,-1.466185876,1
-0.901354859,-0.13563027,1.636813733,-2.488506804,-0.584030881,-1.043488333,1
1.51013262,-0.13563027,2.233031189,-2.000599117,-1.022858919,-1.249239099,1
0.064563891,-0.13563027,0.729238271,-2.058135078,-0.749831121,-0.945316211,1
-1.084981794,-0.128874771,-1.427743993,-0.937322155,-1.407368654,-0.23819269,1
-1.18478418,-0.13563027,-1.37540935,-0.70551975,-1.437525353,-1.370772411,1
-1.193282338,-0.13563027,-1.505252262,-1.028603953,-1.480640722,-0.11684597,1
-0.814883222,-0.069029441,-0.794428562,-0.257666384,-1.340742768,-0.143375542,1
-0.238702274,-0.13563027,-0.754680731,-1.248002147,-1.288265255,-1.350457309,1
-0.059643651,-0.13563027,0.133020815,-1.371743581,-0.052428014,-0.840789128,1
-1.391520726,-0.13563027,2.484767448,-1.270369481,-0.589651514,-0.127332774,1
1.450374368,-0.13563027,-1.032915544,-1.98363604,-1.037226421,-0.941983953,1
-0.6095517,-0.13563027,1.683186201,-1.543958281,-0.678307723,-0.785515631,1
-1.160555998,0.007933637,-1.517176611,-1.016664499,-1.387380919,-1.190105589,1
0.753329912,-0.13563027,1.663312286,-1.259768139,-1.457474759,-1.06419286,1
-0.42309408,-0.13563027,0.835232486,-1.988743674,-0.509203055,-0.231326499,0
-0.567592998,-0.13563027,-0.324079235,-1.607131894,0.556763044,-1.388755105,0
-1.233179919,-0.115879022,-0.734806816,-0.408460386,-1.428578052,-1.072086398,0
0.169138334,-0.072559858,-0.065718337,-1.893651065,0.177464088,-1.511713077,0
1.069110681,-0.13563027,1.206212236,-0.984341913,-0.40277212,-0.621661714,0
-1.217265653,-0.13563027,-0.277706766,-1.101858443,1.929085145,-0.59003311,0
-0.97601678,-0.062541108,0.980974531,-1.663306326,-0.490173521,-1.466227532,0
0.608007429,-0.13563027,-0.330703873,-1.193438744,0.849663816,-2.202801538,0
1.983634591,-0.130086562,0.861731039,-0.864930376,-1.111417893,-2.565329976,0
-0.911071254,-0.13563027,2.140286251,-1.939698926,-0.935442057,-0.754990516,0
